"LeagueIndex","Age","HoursPerWeek","TotalHours","APM","UniqueHotkeys","NumberOfPACs","GapBetweenPACs","ActionLatency","ActionsInPAC","UniqueUnitsMade"
4,26,8,600,83.2656,4,0.0032840345,80.6761,69.5385,3.5664,7
4,21,16,612,109.4994,2,0.0045128795,41.2632,52.6742,4.2734,7
5,23,20,1300,110.7312,6,0.0043605241,31.8228,48.1395,4.1279,7
4,25,4,180,107.4084,8,0.0039650098,30.5633,51.4124,4.8144,8
2,32,10,400,53.8788,4,0.0015882724,21.325,105.3416,5.677,7
3,31,12,300,72.0948,1,0.0022863099,73.9634,89.1793,3.7356,7
5,18,6,180,162.4398,5,0.0040670568,33.7914,55.8293,4.6159,7
5,21,20,1000,111.0876,7,0.003543143,25.6371,55.6303,5.063,4
5,19,14,450,117.4128,5,0.0032399666,53.013,53.7032,5.4129,6
5,27,10,150,164.4894,8,0.0049027083,40.0312,43.3468,4.633,9
6,20,28,1600,195.1986,5,0.0039308837,30.9462,41.5829,7.6631,5
5,17,28,730,116.2062,5,0.0034998158,41.4792,59.1429,5.2368,5
6,17,14,300,207.576,5,0.0057650801,20.5235,37.9901,4.9458,7
5,20,18,770,193.6086,7,0.0053037329,17.9945,39.1803,5.6421,6
5,17,36,720,335.499,5,0.0047616867,24.2551,43.0048,5.7007,11
5,19,8,500,188.76,2,0.004339538,22.2383,47.0904,5.9328,6
3,30,12,500,62.898,6,0.004019404,58.5591,60.3678,2.454,6
6,24,24,1000,146.6856,4,0.0043132209,28.8864,48.9061,5.3066,7
2,16,28,300,76.8504,1,0.0019473636,42.5714,82.5089,7.2249,3
4,23,4,415,59.181,4,0.0025379252,62.5909,84.4528,3.883,8
4,31,4,500,100.4322,3,0.003797992,45.6675,66.7822,4.8589,9
6,16,20,500,157.9002,4,0.00297949,18.5,52.9302,7.1318,7
3,22,10,200,87.2484,0,0.0034238949,27.2787,49.9512,4.7967,3
4,16,14,150,130.4472,10,0.0035675367,37.3869,50.5018,6.3309,7
6,22,24,1000,189.375,6,0.0061079411,30.031,34.7148,3.9626,9
7,21,24,1000,286.4538,6,0.0062061122,20.4232,30.9801,5.7171,6
6,21,10,350,178.368,4,0.00372947,17.1594,42.5962,7.4519,5
1,33,4,120,68.6598,0,0.0023955339,48.6812,87.513,5.413,6
5,23,12,500,136.5768,2,0.0023039115,34.7416,61.2889,10.0333,4
6,25,10,400,262.611,7,0.0045014881,25.9917,33.8017,7.4215,6
3,19,20,730,91.308,4,0.0030935739,42.0578,78.6052,4.4265,5
6,23,20,1800,176.5188,10,0.0041415278,24.644,44.8519,5.9877,7
6,16,42,2200,209.8398,2,0.0043897628,27.8791,48.3616,6.474,8
3,22,40,480,108.4692,3,0.0033719221,32.7104,56.654,5.4251,6
6,18,10,430,166.902,4,0.0031308411,31.4286,52.6866,7.3209,5
4,21,12,350,89.9394,10,0.0027250619,31.616,68.6056,5.8367,7
4,19,20,639,197.5674,5,0.0045740033,40.1297,45.1343,4.8085,8
6,22,10,1000,91.866,6,0.0046854236,36.3039,49.7311,3.088,7
5,21,12,730,166.5636,3,0.0055280264,23.1111,38.6699,5.1133,6
3,19,28,360,99.2874,7,0.0031555556,53.9434,60.7887,5.1268,7
7,24,16,1250,216.6852,6,0.0056912408,21.6119,32.6225,5.0083,8
6,21,24,750,130.5,6,0.0042978208,31.7314,48.5211,4.7923,8
3,19,12,480,52.8438,4,0.0025677896,65.0345,82.24,3.44,6
5,17,24,365,200.9172,8,0.0036062196,54.3652,62.9957,4.6883,6
5,19,14,1000,144.6822,5,0.004888299,34.1769,42.6516,4.2873,6
5,23,12,300,125.7894,3,0.0045709774,36.5231,47.5701,4.6564,8
6,23,28,1000,113.601,4,0.0036371416,22.7456,60.0471,5.2588,4
6,16,4,300,157.9686,8,0.0055042381,29.2745,41.8308,4.1681,11
2,20,6,100,61.7502,6,0.001910874,72.4952,85.5472,5.3585,5
4,22,10,700,83.085,5,0.0032194778,31.451,57.7344,4.6289,9
4,32,2,300,38.2104,5,0.0016787913,73.5573,123.4848,3.3182,6
3,18,24,400,83.376,5,0.0029556873,58.8878,67.0636,5.2875,7
5,23,10,500,119.5992,9,0.0039959294,37.2925,48.4958,4.7487,11
5,19,10,700,129.9594,6,0.0044465742,24.6131,54.5865,5.1504,6
3,18,12,450,78.825,3,0.0031847134,45.6978,72.9714,4.6786,4
5,16,12,600,81.711,1,0.0033338754,49.1755,66.5691,4.3902,7
3,25,20,800,76.5426,6,0.0027492814,57.1442,82.9353,4.9448,6
4,19,6,50,88.1628,1,0.002702959,51.8062,81.2632,5.5132,6
5,29,20,1000,134.2992,0,0.0030081471,10.8571,54.5139,7.2257,6
3,22,12,100,66.8676,7,0.0030505823,75.7029,75.5442,3.4274,7
3,21,2,50,37.2018,0,0.0015724161,61.7455,139.2072,4.2072,6
6,24,24,400,207.8286,6,0.0039138943,51.6859,49.5417,4.7448,6
6,17,4,720,203.2488,6,0.0036589343,20.5587,48.1894,7.7493,8
5,21,8,650,169.3164,6,0.0042391383,49.8065,52.5064,5.4571,8
5,19,10,400,172.4688,10,0.0056177737,28.0043,42.5231,5.0829,12
4,20,6,1000,96.756,6,0.0036338492,29.0894,56.2105,4.4737,7
6,22,16,500,297.0672,7,0.0044149969,25.6638,44.3647,5.8408,9
6,17,10,500,109.6176,4,0.0037985819,26.9155,46.0211,4.5825,7
4,19,6,200,62.1042,5,0.003364588,37.7711,71.1111,3.3814,9
6,19,56,1500,151.9794,4,0.0053159341,32.4456,43.3075,3.6227,7
6,19,12,800,133.884,7,0.0056754952,37.828,40.7059,3.3922,4
4,20,24,233,69.1764,0,0.0019967206,44.1333,93.404,6.3113,4
6,27,12,416,149.094,3,0.0045651752,26.3772,45.1915,5.2057,6
5,26,12,200,111.342,2,0.0023613298,18.8515,65.098,7.1765,4
6,25,4,800,87.2346,1,0.0030877342,53.7391,79.5862,3.6983,4
6,20,24,500,135.414,8,0.0050076563,27.4865,50.6942,4.6302,8
4,18,16,600,125.832,1,0.0036574871,38.809,57.2773,6.056,7
3,27,6,120,58.6008,3,0.0021120241,37.5,104.9863,4.6712,4
6,24,42,1200,186.7284,8,0.0038727902,23.2756,47.4196,7.0902,7
4,16,8,1000,79.2294,3,0.0033137454,35.5318,66.9467,4.09,9
4,32,20,1000,145.7052,5,0.0026556879,36.4456,61.8095,10.2513,8
4,17,16,150,115.536,1,0.0027950311,25.4369,73.4879,6.9179,7
6,17,56,1825,165.321,7,0.0044606435,16.2072,40.1272,6.3161,7
5,17,10,780,174.2208,6,0.004453483,38.7362,45.9769,5.4971,8
4,16,12,350,129.5088,1,0.0027308982,48.1915,63.6614,7.6878,6
3,23,4,400,156.9822,4,0.0032153437,34.9942,64.5831,6.5802,6
4,17,36,1260,82.5732,6,0.0021180251,39.9298,77.2414,6.4483,4
6,18,14,500,135.3252,2,0.0029669317,34.5561,47.7864,7.3447,10
1,22,20,315,54.0792,3,0.0021822755,37.1724,111.661,3.9492,5
4,19,24,200,85.0974,3,0.0033796426,54.375,76.1522,4.5848,7
5,22,10,500,67.1406,5,0.0038464397,56.5437,55.7295,3.029,3
6,24,18,750,157.167,3,0.0051980198,20.3003,38.2177,4.5544,6
4,19,8,480,156.2238,7,0.0046468401,25.0423,40.3088,5.1193,7
5,25,10,700,127.887,5,0.0044009571,46.9684,52.0097,4.8519,9
4,23,20,300,94.2774,6,0.0031405585,40.4211,63.0026,4.9659,7
3,16,56,1260,114.2112,2,0.0024213075,35.4667,62.7353,8.7426,6
4,18,12,2000,133.3434,6,0.0046881485,34.6935,46.4869,4.7807,8
5,17,14,600,99.5436,5,0.0034813579,38.7407,51.871,5.212,4
5,20,10,600,114.8658,7,0.0047128635,37.4084,50.9724,4.1191,9
3,32,20,250,76.0464,4,0.0019843,66.9333,100.4835,7.1209,5
4,21,4,500,86.7318,6,0.0034221281,30.296,63.554,4.0072,5
5,28,20,600,91.3278,10,0.0030227225,50.9364,78.9885,4.9885,6
5,23,4,200,100.4274,1,0.0036042439,34.3746,59.6338,4.6549,8
5,25,8,600,99.8568,6,0.004079038,34.1368,58.1299,4.0844,7
5,21,8,800,120.9714,5,0.0033945687,38.3914,62.7166,4.607,6
2,24,12,10,44.5248,0,0.0020469018,66.35,97.9259,3.358,3
5,28,8,312,131.097,5,0.0036484021,36.986,44.9074,5.8843,7
4,17,18,430,129.3624,0,0.0041671443,38.9697,48.2036,5.5131,8
1,19,16,730,60.4956,2,0.0021949618,103.9624,93.3271,5.2103,7
4,17,8,400,87.531,4,0.0034638554,59.3443,53.3478,4.2609,7
1,17,12,300,89.031,1,0.0031049847,53.5856,63.426,5.1435,5
3,25,8,110,133.6512,4,0.0030922931,39.5728,54.1154,7.2212,5
3,21,10,200,68.1486,0,0.0041331856,29.3034,56.9832,2.7374,4
4,22,24,1000,55.077,5,0.0027028581,60.9626,81.0426,3.5585,8
6,18,42,1700,70.7214,4,0.0042770277,60.3142,63.0723,2.7108,9
6,16,14,1000,165.0564,7,0.0050856843,27.7471,39.7249,5.0401,7
6,21,42,1260,143.7696,6,0.0041708044,21.8167,45.7778,5.8532,9
5,24,12,700,99.5442,3,0.0031331639,40.0791,71.0986,4.9296,8
5,20,24,600,125.8662,6,0.0031897172,31.8929,71.3353,6.724,11
3,16,20,450,124.5054,5,0.0030697051,32.0702,58.2533,6.821,8
5,18,28,1200,136.485,3,0.0040980353,38.6796,55.4576,4.1356,6
5,24,10,200,148.0326,10,0.0040037136,35.7869,52.8213,5.7126,8
2,18,12,500,89.5368,5,0.002456845,69.2281,72.4174,5.5565,5
5,37,14,800,327.7218,6,0.002970003,29.3671,54.1,9.5375,5
3,19,10,300,121.377,2,0.0031666667,50.0769,52.6699,6.5837,6
6,21,16,600,187.4826,7,0.007034286,33.38,33.2238,3.1206,8
5,18,10,1000,141.735,3,0.003614209,24,50.2857,6.4825,8
3,16,8,92,100.3074,3,0.0038776659,32.3401,58.0484,4.6694,6
5,16,8,800,118.9332,0,0.0031971872,36.7314,70.4501,6.3989,10
6,19,10,900,158.868,8,0.0051933864,26.327,41.438,4.5118,8
6,19,20,2500,125.118,5,0.0042696132,29.3526,51.2277,4.1124,6
6,22,28,1000,93.741,4,0.0032804811,42.9895,69.2083,4.1875,4
2,21,16,500,101.6526,2,0.0023884228,23.1259,72.2214,7.3247,8
6,19,20,1400,172.1688,7,0.0050692538,27.6667,43.2246,4.64,7
3,27,10,220,84.8274,2,0.0023954329,37.6867,86.5868,6.4251,6
2,29,4,100,86.5122,1,0.0033305433,39.6211,67.0995,4.623,3
3,17,8,730,114.2478,1,0.0020361991,24.1509,79.037,10.2222,4
3,26,8,730,93.5688,2,0.0033678294,42.4533,65.1391,4.9669,5
5,18,28,700,128.9046,5,0.0050733496,35.1493,43.3795,4.1099,9
5,25,12,800,138.1902,4,0.0049056368,28.7412,40.4204,3.9618,6
5,28,8,500,72.816,0,0.0031290001,22.6514,63.2045,4.2955,3
5,21,28,800,85.395,3,0.0025819088,36.8837,64.5517,5.7471,4
2,23,8,400,114.7236,3,0.0030082225,31.3296,64.8222,6.3278,7
4,23,8,400,141.6378,3,0.0035193133,26.0342,53.2976,7.6902,10
6,16,28,1000,197.7714,6,0.0040205269,25.4949,40.1608,6.6683,6
3,28,12,500,48.0486,3,0.0015744797,65.4706,114.4348,5.4203,4
4,20,28,999,110.1012,6,0.0026491285,50.4496,67.444,7.1004,8
4,19,8,500,125.103,2,0.003627149,23.079,51.6986,6.2192,7
2,22,14,700,34.9278,2,0.0024115756,86.6622,94.7467,2.6567,7
4,20,12,200,73.5696,5,0.0033140189,58.9274,69.1572,3.8491,8
2,18,8,400,87.5064,8,0.0023862998,34.4296,85.0588,6.2647,6
2,18,28,250,73.02,1,0.0035603173,45.5802,77.5754,3.2615,9
1,21,10,150,86.2812,4,0.0029295029,60.1296,76.3871,5.1573,6
2,19,20,120,119.073,3,0.0044024915,32.779,49.6419,4.8843,9
3,23,16,500,99.9318,3,0.0027978411,65.3429,73.7589,5.9858,5
6,25,56,2500,160.971,7,0.0056256572,27.2959,36.1645,4.4673,7
5,17,8,100,167.6424,5,0.0047994658,41.9869,43.9826,5.4935,8
6,22,28,500,124.5138,5,0.0039795883,25.4737,46.7746,5.4179,9
5,17,96,900,145.806,4,0.0039647052,43.2906,54.406,4.3008,8
4,20,8,600,130.1964,5,0.0042647355,44.7754,53.1981,4.5943,7
3,20,20,500,133.8408,1,0.0042316212,33.6436,47.2494,5.0049,7
4,19,10,600,64.7592,8,0.0027865523,52.6667,80.6154,3.9028,6
5,21,16,1000,105.6162,3,0.0030116538,13.8022,54.3478,6.1848,3
5,20,42,550,175.92,6,0.0033600036,42.8725,73.2308,6.2341,6
5,20,2,150,107.1972,2,0.0042416694,31.1111,49.0526,4.4515,7
3,23,24,700,76.1916,1,0.0029440628,47.9162,76.7083,4.3021,6
6,22,30,1000,132.111,1,0.0033059577,35.1489,49.6842,6.9263,4
1,35,12,250,33.6204,1,0.0022181574,91.581,124.3602,2.4218,7
3,20,10,300,55.4748,4,0.0022473313,41.7902,91.0556,4.5972,6
2,18,20,500,96.3384,4,0.0026658188,42.8571,75.945,6.1009,7
3,18,28,450,137.964,1,0.0030965719,35.7,51.1701,7.3278,8
5,18,8,720,99.8766,5,0.0022115653,35.8298,89.3895,5.8,3
5,18,20,700,105.147,4,0.0029329539,50.5812,56.9362,5.9574,6
5,22,12,700,89.2788,3,0.0033271433,52.1983,63.2442,4.5814,10
6,23,28,450,105.6042,4,0.0041956887,28.8674,45.9678,4.3703,10
4,24,24,303,72.069,0,0.0030313705,68.1227,71.8532,4.1529,9
2,20,10,50,43.3884,4,0.0019657008,26.381,73.8898,4.1339,7
6,23,28,1200,111.759,3,0.0044194906,42.488,49.6845,4.4592,9
2,23,12,100,45.3894,4,0.0031880062,73.1797,81.527,2.5608,6
5,19,30,1825,147.1572,4,0.0032875346,30.9896,55.7103,6.5345,8
4,26,12,500,82.9908,3,0.0033153116,49.2093,65.6923,4.2615,4
4,18,10,600,58.947,0,0.0020007846,64.5545,85.4902,5.6765,4
3,23,8,96,82.458,6,0.0035934497,53.8883,67.7326,3.7911,6
1,22,10,30,43.779,3,0.0028427657,35.2093,86.6667,2.8966,3
1,20,4,250,44.0304,4,0.0024855012,52.6993,113.1944,2.9722,4
3,21,10,350,95.8032,4,0.0031130936,37.2584,72.0896,5.3321,6
2,21,18,200,77.3832,4,0.0035023003,52.9258,63.7988,3.8047,6
1,28,6,100,68.214,1,0.0022897918,57.0526,84.0698,5.4767,6
3,19,28,100,86.1144,0,0.0024154589,48.2487,77.4845,6.4175,5
5,24,8,800,180.282,6,0.0026112388,30.8755,60.24,10.36,8
4,16,10,360,156.0678,3,0.0037246234,32.8398,46.2418,6.1538,5
5,18,28,600,139.9266,6,0.0041656356,37.6318,47.0891,4.2376,5
6,20,12,250,169.0608,6,0.0036883771,43.6074,59.122,4.9085,4
4,16,12,450,119.1558,5,0.0034057437,36.2481,61.1892,5.332,4
4,24,4,300,100.5552,4,0.003736793,42.2167,56.7152,4.9044,10
3,17,8,120,69.5898,2,0.0026996388,60.1714,84.5694,4.5872,8
2,21,10,150,73.6266,3,0.0025647537,48.7562,78.1386,5.5149,5
6,23,28,1260,240.7638,5,0.0040036605,33.2086,66.8857,5.7857,4
5,26,16,250,100.3596,5,0.0031865585,27.7064,68.1455,5.0545,4
5,24,20,700,148.9158,6,0.0037649191,38.2667,49.9751,6.5809,6
4,17,20,500,61.8882,5,0.0024213284,50.3,91.1032,4.2206,7
6,24,20,1000,94.0662,6,0.0033448959,41.7695,57.5407,4.6667,10
2,16,6,450,97.482,2,0.0035117967,34.5803,69.5297,3.9225,6
4,20,30,700,91.1646,3,0.0035494618,40.5362,57.2274,4.4621,8
2,18,24,300,65.8302,0,0.0021080787,64.2609,71.5269,5.3978,6
3,23,6,650,93.6108,6,0.0030824331,44.689,64.7238,5.3048,6
4,16,16,184,113.9904,0,0.0032880154,34.2256,56.2846,6.0375,7
3,23,16,300,125.7312,8,0.0043554673,25.1253,57.0965,4.8816,9
6,22,10,600,151.8984,4,0.0036181705,44.9808,58.4306,6.6077,5
5,23,14,800,104.3874,7,0.0030400952,33.4737,65.4965,5.8042,8
4,19,28,4000,194.1858,4,0.00495177,39.8389,41.0591,4.6454,6
4,20,8,400,109.968,1,0.0034660148,59.5989,64.1895,5.3737,8
6,18,12,420,193.3734,5,0.0027567312,21.4815,68.8589,8.2945,6
3,22,20,300,63.7248,1,0.0018150159,47.6721,133.3984,6.0407,6
6,20,6,800,116.1894,5,0.0045060174,42.4798,56.2857,3.8789,7
4,22,10,350,130.2162,2,0.0039431171,34.7568,50.372,5.4582,8
4,21,12,350,69.9006,5,0.0029961712,55.8947,76.6039,4.0613,9
3,20,6,1000,61.467,4,0.003049059,47.2495,85.5431,3.9345,9
5,25,28,1300,132.0822,6,0.0020267275,31.0236,65.25,11.7266,8
4,27,4,50,46.7628,1,0.00145481,28.8254,105.3125,5.3906,3
5,25,4,300,94.7148,4,0.0030744005,27.395,69.8333,5.575,4
5,18,24,700,91.3014,3,0.0035026915,31.3245,59.3263,4.1132,7
2,17,16,400,79.2378,3,0.0027532485,56.6483,77.4146,5.3537,7
5,21,6,500,85.7514,7,0.0035178131,30.0958,70.879,4.449,7
5,19,20,730,161.0184,2,0.0048687219,35.9675,44.4858,5.5466,5
2,18,8,220,89.8518,5,0.0031873101,30.9006,72,5.25,4
6,21,28,1100,118.8882,4,0.0040719655,41.0486,53.5655,4.6491,7
4,22,12,400,100.1172,6,0.0027273937,21.7143,68.3415,5.7642,5
6,16,12,1000,149.8014,3,0.0047346617,37.9634,49.2083,5.138,7
2,22,30,700,82.9572,1,0.0006789964,45.8,93.7143,17.7619,4
2,22,12,60,105.9774,3,0.0026673725,36.6462,61.4656,7.0458,5
3,27,28,300,102.8652,7,0.0025453698,58.9732,65.1756,7.5115,9
3,25,8,700,78.8676,3,0.0032336854,43.6267,75.1596,4.2128,7
3,19,6,100,101.598,6,0.0032749574,38.4468,57.3156,5.0345,8
3,23,30,400,97.1082,10,0.0030678876,46.4294,82.5566,4.4098,5
3,18,20,500,119.8566,3,0.0029377359,40.5091,66.1357,6.4932,7
4,19,2,10,55.9674,1,0.003,64.8271,83.0562,3.3296,7
4,18,10,700,48.5016,2,0.0017872617,71.7863,107.8182,4.9394,6
5,24,12,350,105.0174,5,0.0033691303,33.8039,63.8125,5.0586,8
5,20,8,450,102.8466,6,0.0033246449,39.0683,61.6,5.204,7
4,24,8,250,80.088,4,0.0027905728,35.1878,64.557,5.1873,10
7,25,42,2400,182.6208,8,0.0052543893,24.4969,38.626,5.4065,7
3,18,6,180,90.2904,4,0.0036692129,44.6217,61.3567,4.1433,5
4,16,14,730,111.753,3,0.0028062029,25.5161,68.1767,5.8996,4
4,22,10,1000,87.9012,1,0.0033309155,40.6897,73.2722,4.7908,9
6,24,30,2160,192.9342,5,0.0051245382,18.4,34.8605,6.3934,8
6,19,10,350,104.1918,6,0.003927632,35.1273,57.0679,4.5882,6
3,17,20,80,48.8586,2,0.0026035684,68.6347,86.1176,3.4301,7
3,19,14,900,91.0182,5,0.0028476073,48.4678,71.1487,5.2187,6
2,16,10,10,32.673,0,0.0012442431,95.8788,119.1642,4.1493,3
5,22,20,1260,132.1734,10,0.0034805517,44.3333,57.7723,6.12,9
4,19,6,200,90.2976,4,0.0031592403,39.6047,60.5549,4.7977,5
5,21,16,300,115.2306,6,0.0046704658,25.0957,47.2573,3.7241,8
3,22,12,25,90.6156,5,0.0030199852,40.6683,58.0294,5.1985,6
4,20,24,800,116.7888,6,0.0049659964,32.5235,47.5074,3.8448,8
4,20,10,700,99.3978,4,0.0035089258,57.5423,62.8125,4.9344,6
6,17,16,624,138.3468,10,0.0051007576,29.5494,39.5008,4.735,7
4,20,28,700,57.0798,3,0.002716448,88.064,80.23,3.639,12
4,23,36,2000,98.4858,2,0.0040970129,42.0403,60.1472,3.7023,6
5,20,40,5000,84.7086,2,0.0031242729,48.512,62.6064,4.5585,7
6,18,24,650,188.862,7,0.0050540608,23.7805,44.4577,5.5199,7
1,28,8,176,69.1182,0,0.0021854951,68.931,96.1545,4.1588,7
1,24,16,60,25.6062,1,0.0014827517,74.8219,143.2381,3.3061,7
5,19,2,400,117.1998,10,0.0043118532,33.4651,56.5101,3.8377,6
4,20,4,500,84.9,5,0.0035108415,28.8128,57.4613,4.2853,7
3,26,6,300,56.1744,4,0.0029427805,56.5271,80.1853,3.3591,7
2,21,8,100,84.2382,5,0.0032812156,76.242,70.7584,4.4614,7
2,25,12,400,105.8694,5,0.0033906177,31.8621,69.8904,4.0068,6
2,25,10,1000,51.0624,0,0.002739331,58.6041,89.3918,3.3509,6
4,28,16,300,40.4076,4,0.0012603347,88.5714,92.48,5.96,3
2,19,8,300,66.093,3,0.0015489772,31.0323,102.0317,7.6032,5
5,31,4,750,205.3416,5,0.0044066607,21.5078,39.8319,7.1394,8
3,16,10,200,76.6992,3,0.0026270482,39.5909,90.4633,5.4576,8
4,24,14,450,98.0592,2,0.0035294798,24.4938,57.2295,4.4508,8
3,26,24,120,85.4424,5,0.0029398686,45.6371,78.8908,4.5042,6
4,17,8,1000,99.5586,3,0.0029859624,38.704,65.0199,5.0478,6
4,20,8,200,115.488,5,0.00301149,36.6486,70.9077,6.7115,7
4,26,2,300,81.336,2,0.0031805089,41.1185,64.9811,4.4858,6
4,25,2,80,90.867,3,0.0039088864,34.4549,60.7914,3.8237,9
