"","LeagueIndex","Age","HoursPerWeek","TotalHours","APM","UniqueHotkeys","NumberOfPACs","GapBetweenPACs","ActionLatency","ActionsInPAC","UniqueUnitsMade"
"46",3,17,8,250,62.5908,5,0.0021435133,82.3614,89.9048,5.2024,3
"47",5,24,12,350,105.0174,5,0.0033691303,33.8039,63.8125,5.0586,8
"48",4,21,10,800,150.7878,5,0.0042806992,24.4361,50.4686,5.6046,9
"49",3,20,42,1600,59.664,2,0.0022643408,37.757,82.963,5,3
"50",3,26,6,730,101.526,6,0.0022233202,30.4474,69.7516,7.7908,7
"51",2,16,14,150,67.5534,6,0.0033125544,70.1754,79.4048,3.337,9
"52",6,21,16,1000,215.1456,9,0.0071913566,21.2077,31.815,4.2903,8
"53",2,23,16,1200,61.908,2,0.0011942959,44.4242,93.9104,10.7463,5
"54",6,19,16,950,180.8538,4,0.0052968746,19.114,38.178,5.2866,11
"55",5,18,24,1000,175.446,1,0.0035105834,35.0815,56.9412,4.9338,3
"56",5,18,10,850,126.1446,4,0.0041889562,34.9735,54.5541,4.5541,6
"57",3,23,8,730,182.3736,5,0.0028125611,17.9649,44.7652,8.6609,6
"58",4,19,8,480,156.2238,7,0.0046468401,25.0423,40.3088,5.1193,7
"59",4,18,4,140,119.8716,3,0.002784786,42.6609,67.6068,7.1496,5
"60",4,21,12,350,69.9006,5,0.0029961712,55.8947,76.6039,4.0613,9
"61",3,19,12,225,67.6524,8,0.003011435,34.7232,79.4254,4.0169,6
"62",1,25,28,600,60.507,5,0.0023991805,44.6328,85.3483,4.6517,6
"63",4,22,10,700,87.273,1,0.0026504902,34.6387,84.251,5.2971,8
"64",1,16,16,420,40.1292,4,0.0016136535,129.9729,130.2523,4.7342,7
"65",6,22,30,1000,132.111,1,0.0033059577,35.1489,49.6842,6.9263,4
"66",6,21,24,750,83.0268,5,0.0045880631,43.5508,62.2328,3.0776,6
"67",6,16,14,730,185.22,6,0.0032203108,30.1558,59.0968,6.9742,5
"68",3,24,8,700,81.03,7,0.0028815442,50.8387,70.5703,4.5783,4
"69",6,21,28,800,208.2102,5,0.0035305748,31.7726,46.9867,7.1767,8
"70",5,19,6,300,134.4972,3,0.0029859699,22.2281,51.8777,7.6725,6
"71",1,20,12,730,172.953,5,0.0040416667,35.2552,51.1065,4.5945,6
"72",1,24,18,200,106.7454,6,0.003289099,42.087,61.316,5.3463,4
"73",6,24,2,730,121.4622,5,0.0039934354,41.1009,55.379,3.9087,6
"74",5,17,42,1600,90.0642,3,0.0032721547,29.5547,64.3008,4.5263,4
"75",3,16,14,200,57.9306,0,0.0026537034,57.5467,78.9912,4.0841,8
"76",2,19,8,300,66.093,3,0.0015489772,31.0323,102.0317,7.6032,5
"77",4,28,4,500,110.0514,7,0.0036049593,20.9125,59.7259,5.3832,8
"78",4,16,12,350,129.5088,1,0.0027308982,48.1915,63.6614,7.6878,6
"79",5,19,24,750,76.1976,0,0.0031643505,50.1554,65.8351,4.299,5
"80",1,18,28,200,49.7424,6,0.0019145822,75.9863,103.1399,4.8191,9
"81",6,23,8,350,167.1048,5,0.0035985057,26.2529,48.7328,6.7214,5
"82",2,27,8,200,78.831,2,0.0029389378,48.5921,82.0719,5.1871,7
"83",4,24,16,700,123.576,0,0.002234512,36.4277,62.175,8.9625,6
"84",5,23,20,1600,122.511,9,0.003638574,37.0943,65.8165,6.0282,7
"85",5,22,10,300,106.9818,6,0.0044605462,46.8235,56.3099,4.0493,9
"86",4,22,20,300,121.2762,9,0.0033413148,39.3072,62.1368,5.6678,6
"87",1,22,2,300,46.6974,3,0.0022385755,49.3023,105.931,3.8851,4
"88",2,17,24,75,72.2862,0,0.0015155117,77.52,107.5294,8,5
"89",5,25,12,730,109.7556,8,0.0040196379,26.2835,51.771,4.2443,5
"90",5,17,28,730,116.2062,5,0.0034998158,41.4792,59.1429,5.2368,5
"91",6,16,42,700,163.4436,4,0.0046632124,27.2557,42.4514,5.3681,9
"92",6,27,6,300,127.2174,6,0.0058205767,16.9571,37.9083,3.737,8
"93",3,16,12,1256,192.3036,10,0.0036350604,27.7447,39.0704,7.6197,3
"94",5,22,6,200,76.611,3,0.0034969145,37.7215,60.521,4.0546,7
"95",4,20,6,200,80.8956,7,0.0035691654,54.5445,56.3864,3.893,7
"96",6,22,20,750,99.072,3,0.0035039244,50.5977,56.8686,4.8114,6
"97",4,25,16,500,175.0602,5,0.0033612759,14.2114,47.0607,9.2713,6
"98",1,21,8,200,69.7926,6,0.0028114439,43.2292,63.5855,4.342,6
"99",5,19,8,500,78.8736,3,0.0032096205,43.7368,74.0437,4.2183,6
"100",4,19,6,150,103.5516,4,0.0027566185,39.0874,69.372,6.7681,5
"101",4,21,20,450,84.3522,6,0.0037035404,45.3134,57.0238,3.753,7
"102",3,20,2,600,92.4972,4,0.0027478068,30.7465,71.3761,5.9037,7
"103",2,19,30,200,56.8998,4,0.002032245,74.9153,110.9333,4.5333,3
"104",3,18,10,250,43.1106,0,0.0017206388,66.8571,109.8462,4,3
"105",2,16,12,240,113.6718,1,0.0030781258,38.7888,56.8571,5.746,6
"106",1,18,6,230,69.5076,4,0.0014589169,45.0612,112.96,9.14,4
"107",6,19,20,800,169.1322,3,0.0026680127,19.5374,49.5135,9.3649,5
"108",4,22,32,575,137.307,2,0.0040049022,27.6932,49.9563,5.6913,9
"109",5,22,4,200,146.9604,5,0.0045792591,29.0754,44.7018,5.1404,6
"110",6,19,28,700,116.7852,4,0.003989071,40.1319,58.7507,5.2329,8
"111",3,23,8,700,149.4762,7,0.0038282613,45.7627,54.2616,5.5401,6
"112",6,27,8,900,116.0304,8,0.0035194535,29.661,57.3333,4,6
"113",3,25,10,400,158.3064,8,0.0034137697,28.7969,56.0458,7.3855,7
"114",3,16,14,730,70.0308,1,0.0018503566,62.2222,86.7636,6.9273,4
"115",3,21,10,350,95.8032,4,0.0031130936,37.2584,72.0896,5.3321,6
"116",4,20,20,800,56.5296,3,0.0025524837,55.4576,92.0225,3.7584,6
"117",4,17,12,100,103.503,6,0.0039393697,55.7557,60.9848,4.3426,7
"118",3,20,28,300,83.8716,1,0.0016389604,58.7952,89.9524,8.5833,5
"119",6,26,12,450,136.6296,5,0.0039855808,34.8115,57.6178,5.4618,8
"120",5,27,6,1100,100.587,5,0.0030652723,25.931,56.0588,5.8333,7
"121",6,21,14,360,160.0704,6,0.0039124563,29.5369,51.1371,5.2234,7
"122",6,17,16,624,138.3468,10,0.0051007576,29.5494,39.5008,4.735,7
"123",4,29,8,350,78.147,5,0.0022437826,57.5955,95.1285,5.6034,8
"124",4,19,16,600,73.3116,3,0.0016008538,65.4634,67.4286,8.381,3
"125",3,20,28,400,134.2848,5,0.0032047955,18.2927,62.4615,6.0202,5
"126",3,17,20,800,90.2346,3,0.0040865526,32.6354,54.9353,3.5935,4
"127",3,21,20,160,90.9126,2,0.0020979755,32.9114,98.65,7.35,4
"128",2,21,8,100,84.2382,5,0.0032812156,76.242,70.7584,4.4614,7
"129",3,24,2,300,75.783,6,0.0028079543,51.358,68.5738,4.8074,6
"130",4,31,8,730,67.8468,4,0.0016574116,66.1034,75.2479,4.2735,6
"131",5,25,20,600,111.4686,5,0.0034868977,36.5019,49.8788,5.3182,6
"132",5,17,6,400,73.9686,1,0.0026336119,49.3691,67.9467,4.8867,5
"133",4,24,10,610,125.2404,5,0.0036840176,41.5661,54.7662,6.0124,7
"134",3,18,80,200,146.52,4,0.0028986931,35.4872,64.8136,7.3983,3
"135",1,19,20,350,34.278,4,0.0021979525,118.1607,93.2089,2.7156,6
"136",5,22,16,800,125.6172,5,0.0032088681,34.3222,59.9515,6.5121,10
"137",4,26,12,400,38.943,5,0.0025458248,64.8939,85.1556,2.6722,7
"138",4,18,6,420,62.8572,2,0.0031190289,61.0909,70.991,3.4234,4
"139",6,20,12,700,102.0174,7,0.0046356657,38.6214,54.6458,3.5286,5
"140",4,19,10,600,64.7592,8,0.0027865523,52.6667,80.6154,3.9028,6
"141",4,27,4,110,59.3004,5,0.0019060052,51.2778,88.0548,5.6164,5
"142",6,20,28,1000,214.4652,7,0.0030855092,33.424,68.5896,6.6375,7
"143",4,17,48,900,108.0642,6,0.0040500591,32.322,50.9294,4.6399,7
"144",3,18,12,400,75.5628,2,0.0034866558,47.3247,78.514,3.6393,4
"145",6,26,6,288,119.5176,10,0.0060537954,31.8261,43.1317,3.1557,7
"146",5,25,12,200,164.1114,7,0.0049876014,40.4604,43.7815,5.6365,8
"147",4,25,6,500,70.9686,3,0.0034882654,58.8396,69.1491,3.5768,5
"148",4,21,2,50,67.8018,5,0.0029360967,50.8639,66.1882,4.0941,5
"149",4,21,20,140,87.8604,4,0.003758407,37.767,54.7544,4.25,7
"150",3,17,20,400,132.8898,5,0.0033467202,35.933,62.4444,6.3167,6
"151",5,17,42,450,168.324,1,0.0044270942,26.1991,56.5201,6.2293,7
"152",6,23,4,600,88.5822,4,0.002717594,41.8625,65.7427,5.1115,9
"153",3,17,20,300,129.3198,5,0.0026489003,40.2137,67.303,7.5076,5
"154",3,16,12,650,131.919,0,0.0028436861,48.7059,52.2656,8.5469,7
"155",4,19,12,1080,80.1648,4,0.0025088274,48.2419,77.6296,5.7083,5
"156",6,19,24,800,113.4858,4,0.0030496322,35.0408,71.6234,7.4707,8
"157",2,25,10,200,75.9642,4,0.0020902802,45.1018,78.3095,6.5417,6
"158",5,20,24,360,175.5354,8,0.0049472105,19.5673,42.1224,5.207,7
"159",3,16,24,730,101.6082,7,0.0034189518,64.2239,66.3046,3.7234,5
"160",2,24,6,235,90.0018,5,0.0041096291,67.0143,59.331,2.79,6
"161",4,17,28,700,122.9646,1,0.0036216973,48.7749,59.75,6.0114,9
"162",6,20,20,1100,88.8582,6,0.0038593188,35.2622,54.6962,4.1818,9
"163",4,27,6,200,62.6874,5,0.0037869822,34.4314,64.8594,2.957,7
"164",1,20,16,450,78.2736,4,0.0021322871,72.8241,99.08,6.54,7
"165",4,20,6,800,111.6,1,0.0026797678,39.5294,54.9,7.1917,5
"166",4,19,8,500,52.311,2,0.0028479549,50.4,85.786,3.7159,8
"167",2,21,4,500,68.3628,4,0.0018243981,29.3016,84.126,7.2835,6
"168",5,22,10,1400,92.8662,0,0.002486661,24.4533,62.649,6.5166,7
"169",1,26,4,230,68.1048,3,0.002242254,36.7755,90.3838,5.0606,3
"170",4,16,50,50,87.1218,4,0.0034764121,45.8755,67.438,3.7231,6
"171",4,21,24,200,114.8046,5,0.0027695819,30.8283,84.9447,6.8593,5
"172",4,19,30,1560,123.642,0,0.0038273616,42.4,59.0319,5.4867,7
"173",6,16,28,750,211.0536,7,0.0049548078,33.1129,41.7143,4.706,8
"174",5,18,10,600,158.205,0,0.0038852783,43.0524,54.9909,5.8682,7
"175",5,17,24,2400,104.8164,2,0.0039360179,31.6158,47.1057,4.6364,9
"176",1,18,14,100,50.1,0,0.0023800396,59.6486,114.0671,3.1678,6
"177",5,17,24,800,256.8528,4,0.0050556283,15.3896,34.9773,6.2298,5
"178",4,19,6,500,85.2966,4,0.0040262494,56.5,58.3203,3.0285,7
"179",3,25,8,500,81.5616,4,0.00344791,34.2016,69.7231,3.3385,6
"180",2,27,6,70,44.457,2,0.0024247065,76.4405,98.7719,3.0965,6
"181",4,19,28,540,194.3676,4,0.0039267016,37.0605,54.9444,6.4167,7
"182",6,22,24,936,89.7594,6,0.0044667274,40.0137,55.5646,3.0782,6
"183",1,35,8,350,66.5358,2,0.0016110487,55.15,97.9917,8.1494,7
"184",3,16,8,92,100.3074,3,0.0038776659,32.3401,58.0484,4.6694,6
"185",5,27,8,500,111.0432,7,0.0031049496,32.2815,64.9742,6.2768,6
"186",6,16,6,400,201.9108,7,0.0055717054,12.6649,31.8913,5.3913,5
"187",3,18,2,300,75.2184,5,0.0037048315,32.9072,56.7397,3.5616,7
"188",5,37,18,1000,123.4098,7,0.0024285633,13.2471,70.5965,9.3509,7
"189",4,23,28,730,104.004,4,0.002578761,42.2061,62.3373,7.4217,7
"190",4,18,24,800,155.9856,8,0.0035689328,24.4632,52.1538,6.5664,6
"191",4,16,8,400,74.1366,3,0.0020295796,41.04,80,6.7228,7
"192",3,20,16,400,100.659,1,0.0040413997,39.6336,64.5183,4.4268,8
"193",7,23,42,2000,298.7952,4,0.0048216976,16.8586,33.7292,6.1354,4
"194",5,18,8,350,139.0494,3,0.0035323845,44.6471,65.4015,4.708,5
"195",3,20,28,500,116.5722,2,0.0029251563,34.2338,75.0517,6.5129,6
"196",5,25,12,800,138.1902,4,0.0049056368,28.7412,40.4204,3.9618,6
"197",4,18,8,450,169.0749,3,0.0030343398,25.4321,54.2439,9.5854,2
"198",5,23,16,600,134.3874,4,0.0054980182,36.2408,46.8992,3.6008,10
"199",5,20,28,730,151.7322,10,0.0034564701,25.9686,61.3542,6.026,7
"200",3,18,6,180,90.2904,4,0.0036692129,44.6217,61.3567,4.1433,5
"201",4,25,8,730,58.6932,0,0.001581252,76.2078,105.7949,6.3205,5
"202",4,18,4,100,105.096,10,0.0038950095,53.0265,55.1662,4.4644,6
"203",4,18,8,700,192.8466,7,0.0048998946,26.4632,39.8853,5.2832,7
"204",3,31,4,300,88.9254,3,0.003740267,42.791,60.2528,3.8439,5
"205",4,21,8,450,130.9572,7,0.0029721595,48.2881,72.4388,4.8101,9
"206",1,21,16,100,94.9017,2,0.0020265054,118,110.0952,7.381,3
"207",6,17,10,700,290.1222,5,0.0069393781,17.9348,27.5645,5.5257,10
"208",6,21,24,800,129.822,5,0.0037115894,19.9844,49.0698,6.0465,5
"209",6,25,28,850,91.4784,6,0.0024579765,26.1639,63.1613,5.8065,3
"210",5,22,12,700,89.2788,3,0.0033271433,52.1983,63.2442,4.5814,10
"211",6,20,16,1300,208.7646,8,0.0052186403,21.227,33.7982,5.5046,9
"212",3,21,12,650,70.6056,4,0.0029650203,46.3873,70.8228,4.2468,6
"213",5,23,14,1200,120.6852,4,0.0029378415,35.9646,57.5088,6.6667,4
"214",4,19,36,1350,73.8144,2,0.0033197797,54.1634,72.8837,3.8488,6
"215",1,22,10,600,61.92,5,0.0021971698,43.403,97.1905,5.881,9
"216",3,22,20,800,77.5146,5,0.0029779269,34.6066,80.1633,4.4245,5
"217",3,17,14,650,56.643,3,0.0034724683,68.3887,65.4592,3.0204,7
"218",2,17,16,650,80.6232,4,0.0026267358,38.5815,66.9936,5.7962,9
"219",6,26,6,525,130.7844,6,0.0029780274,27.8333,46.0104,7.1503,5
"220",5,19,10,325,132.2094,1,0.0034016793,36.6298,64.4738,6.719,7
"221",5,17,4,500,150.9036,1,0.0031619385,27.0235,61.8692,8.257,6
"222",4,22,20,500,160.8168,5,0.0036966624,29.3397,46.2667,7.0095,7
"223",6,18,42,1700,70.7214,4,0.0042770277,60.3142,63.0723,2.7108,9
"224",2,19,8,100,54.0606,1,0.0029331359,93.6078,83.068,3.1553,5
"225",4,19,30,1000,88.7544,5,0.0037823834,48.7339,53.9361,3.863,6
"226",6,17,28,1500,164.7216,6,0.0043530113,23.4207,41.7808,5.6575,5
"227",4,34,8,500,143.8392,6,0.0036904581,34.1931,53.9656,6.1753,7
"228",2,22,42,150,94.0596,6,0.0030064396,64.4569,75.3892,5.1957,9
"229",2,22,14,1260,49.1904,5,0.0030491536,51.7047,79.2375,2.786,6
"230",3,16,12,600,88.4238,4,0.0027638004,39.4067,70.1704,6.5695,8
"231",5,22,28,1300,159.927,4,0.0027000491,18.8702,54.0909,8.7803,7
"232",4,24,10,500,130.4184,4,0.0034025339,46.5589,57.9447,5.1014,6
"233",1,24,16,200,31.7124,3,0.0020768432,60.9185,101.3824,3.0221,4
"234",3,27,6,500,76.8132,4,0.0025885508,36.4477,80.9784,5.4928,7
"235",3,19,20,400,107.6016,1,0.0037825513,29.2203,53.7352,4.9155,7
"236",3,23,2,200,83.748,4,0.0028140852,35.8812,82.8026,5.3059,6
"237",5,17,24,800,170.9808,4,0.0030314841,31.1685,64.4143,6.6893,10
"238",5,19,24,450,176.6268,4,0.004309291,27.5735,42.9125,6.7589,6
"239",5,19,16,350,213.4776,7,0.004631396,43.9266,45.6842,3.9771,9
"240",5,19,14,1000,130.7874,5,0.0037165608,32.0741,45.4776,6.3588,7
"241",3,22,20,500,110.5272,2,0.0030172229,41.9857,73.3808,6.3559,6
"242",2,23,28,800,83.6118,4,0.0038174487,52.3977,57.3483,3.7959,5
"243",6,21,12,400,130.2246,7,0.0028718105,28.6071,52.885,7.0177,5
"244",4,23,36,1500,96.6198,3,0.002613987,47.2967,82.3825,6.0383,5
"245",4,21,14,450,177.4398,3,0.0044993701,21.7391,46.2667,5.7333,6
"246",4,22,10,350,130.2162,2,0.0039431171,34.7568,50.372,5.4582,8
"247",4,24,8,250,80.088,4,0.0027905728,35.1878,64.557,5.1873,10
"248",2,19,12,196,91.3842,5,0.0018498029,72.2642,72.785,8.5514,6
"249",5,21,12,450,147.588,4,0.0047054769,40.678,47.2901,4.7268,7
"250",2,28,24,100,63.8712,4,0.0021802963,61.0505,99.0955,5.6432,5
"251",3,25,4,360,64.6458,3,0.0031754205,43.2868,78.3629,3.4402,8
"252",3,21,30,2200,86.1066,3,0.0034953085,49.7679,61.3511,4.3644,4
"253",5,19,10,500,151.203,7,0.0044323429,33.4661,48.2386,4.9324,9
"254",3,23,4,500,57.8586,0,0.0022139213,47.9174,97.251,4.5473,7
"255",5,24,4,500,77.3016,7,0.0029190034,51.873,84.6299,4.3701,4
"256",6,18,10,600,146.2686,1,0.004614906,23.6992,50.382,4.7865,7
"257",3,18,12,400,80.0022,2,0.0024430938,48.4444,75.6098,5.3171,4
"258",6,23,8,4000,142.7916,3,0.0045906132,23.2822,45.4627,5.0616,7
"259",5,16,14,900,148.503,8,0.0037135964,41.3023,59.703,5.7842,10
"260",5,23,20,1300,110.7312,6,0.0043605241,31.8228,48.1395,4.1279,7
"261",2,30,2,240,54.84,4,0.0019695478,52.1553,97.3462,5.2981,6
"262",4,31,8,600,96.372,3,0.0042556425,31.9881,53.4762,4.1875,8
"263",6,24,8,500,117.615,7,0.0036629012,30.1149,50.4122,5.1031,5
"264",6,19,28,800,161.4678,4,0.0043371345,21.2125,47.8754,5.3364,5
"265",3,24,8,600,128.4342,5,0.0030664782,59.0248,94.321,3.2922,8
"266",4,23,24,30,91.8564,5,0.0029301376,40.5424,69.7079,5.2416,5
"267",4,28,12,100,63.3156,5,0.0026577062,56.3363,92.5639,4.2026,8
"268",4,23,14,900,82.7364,5,0.0027804845,35.2485,71.1782,4.9063,11
"269",6,21,28,2000,161.6652,7,0.0057930729,33.0043,40.0425,3.7367,7
"270",5,17,28,1270,151.7454,5,0.0036329804,25.9083,52.6707,6.5518,5
"271",6,16,28,700,229.2942,4,0.0056968035,26.9023,33.9815,4.2222,4
"272",5,27,28,1000,78.4428,9,0.0040196562,53.0051,59.1509,3.3836,6
"273",2,16,12,1500,82.5222,4,0.0031697844,47.7597,77.0282,4.3521,6
"274",5,17,28,460,171.2124,4,0.0041849138,19.5392,38.5819,6.5721,8
"275",4,21,6,750,86.523,3,0.0038450482,36.5433,54.2523,3.8692,8
"276",1,26,4,600,58.5666,5,0.0023225257,35.184,82.8048,4.3307,5
"277",4,20,4,220,123.7398,2,0.0016441006,36.2388,75.2353,13.7353,3
"278",3,26,6,400,56.5494,3,0.0028853491,70.0415,85.8512,3.0661,6
"279",5,20,8,700,127.1574,7,0.003048613,46.7873,69.4054,6.6532,7
"280",4,28,12,600,147.8922,7,0.0036549408,27.6854,57.9384,4.1905,8
"281",2,23,8,400,114.7236,3,0.0030082225,31.3296,64.8222,6.3278,7
"282",4,21,6,400,111.6288,3,0.0032114883,32.7869,61.6911,5.6748,4
"283",6,20,6,125,275.7342,6,0.0068917749,12.3723,28.8191,5.799,8
"284",3,17,6,300,48.8346,0,0.0024978845,63.6209,82.9967,3.8795,6
"285",6,19,48,2016,155.9874,6,0.0046726477,21.3983,43.1886,5.5971,7
"286",4,31,12,600,63.9486,6,0.0023332904,52,83.8897,4.7448,7
"287",4,27,30,125,75.5628,4,0.0026812001,41.6656,84.9542,5.219,5
"288",4,20,8,650,72.4332,3,0.0029239766,32.0699,74,4.5304,5
"289",2,20,10,100,61.0146,0,0.0032525614,63.6318,79.1167,3.5583,4
"290",3,17,8,540,152.7588,2,0.0017224749,19.1837,90.88,12.68,3
"291",5,23,42,2000,249.3198,6,0.003432072,39.2662,50.5376,6.7563,8
"292",6,23,24,1196,202.0194,3,0.0034712675,19.9005,44.3564,7.3663,8
"293",4,20,6,200,78.7764,5,0.0037236429,40.2659,68.5301,3.3946,8
"294",5,17,8,100,167.6424,5,0.0047994658,41.9869,43.9826,5.4935,8
"295",4,23,8,200,85.7502,1,0.0029049263,64.3718,64.6518,5.2109,9
"296",5,18,28,600,136.7316,3,0.0042926303,33.3171,44.3489,5.4949,4
"297",2,24,10,60,71.7522,7,0.0022706209,46.0274,87.9184,5.3537,5
"298",6,16,12,1000,150.6972,5,0.0045220357,29.1499,41.0246,4.7111,8
"299",1,28,4,40,53.55,2,0.0014290425,73.9608,108.6154,6.8269,4
"300",4,16,14,350,104.1312,3,0.0033936243,50.1973,53.7234,5.2899,9
"301",3,26,6,500,85.9506,6,0.00255119,53.5556,88.4691,6.1987,8
"302",4,22,4,730,113.9184,8,0.0035153443,28.3415,69.8102,5.1971,7
"303",4,31,8,730,46.4748,2,0.0028380952,59.4324,76.7517,2.953,5
"304",2,19,14,200,76.164,0,0.0031187525,40,73.6538,4.5288,6
"305",3,22,8,300,35.0298,4,0.0020781747,72.9892,102.0851,3.1064,6
"306",4,20,6,250,95.5632,5,0.0030716538,43.0044,59.115,5.2699,6
"307",3,16,6,300,62.1174,3,0.0035810305,39.6049,64.2462,3.2646,5
"308",4,22,84,640,149.6574,3,0.0040740741,29.0142,46.9886,5.9886,6
"309",2,20,20,30,67.2546,6,0.0033974292,73.6641,71.9588,3.4356,8
"310",4,19,6,88,156.1278,4,0.0040250447,37.2297,53.468,6.1145,6
"311",4,19,6,500,98.3154,4,0.0026198248,27.0413,75.1475,5.8934,5
"312",4,29,4,180,97.179,2,0.0030073143,29.4747,65.2261,5.5477,6
"313",4,16,4,120,111.6846,10,0.002836328,20.2653,75.4518,6.3096,6
"314",5,16,14,500,109.5582,8,0.003333642,31.9164,59.6667,5.2569,6
"315",3,23,28,730,74.4258,4,0.0017272223,47.0631,75.1071,8.1518,5
"316",6,21,12,1000,119.499,4,0.0037746881,36.7235,53.3253,5.4191,10
"317",3,22,8,600,141.075,5,0.0046383613,40.0853,46.0426,5.1915,7
"318",5,21,8,800,120.9714,5,0.0033945687,38.3914,62.7166,4.607,6
"319",5,30,28,730,117.054,4,0.0030158307,30.038,60.0883,6.4732,9
"320",5,26,8,180,111.3534,3,0.003347821,36.6217,65.9649,5.9152,6
"321",3,18,12,450,78.825,3,0.0031847134,45.6978,72.9714,4.6786,4
"322",4,28,6,1200,62.8314,4,0.0023957159,44.0139,84.2907,4.7232,9
"323",4,27,10,900,74.3418,2,0.0024817785,49.3298,83,5.2921,7
"324",3,24,10,400,43.9338,5,0.0028233191,68.6357,93.3127,2.7375,7
"325",3,23,10,320,121.5924,0,0.0031046162,31.2487,65.1717,6.6364,7
"326",5,24,16,300,195.8406,3,0.0048377854,18.7763,35.5444,5.6469,7
"327",6,22,24,1600,139.3404,4,0.0035254883,49.2339,59.0811,6.3615,5
"328",3,16,8,200,116.4156,3,0.0038161111,28.3451,47.5938,5.1211,7
"329",5,17,20,730,102.8352,5,0.0046196988,36.339,50.075,3.7739,8
"330",3,32,8,400,75.0612,1,0.0034519686,50.9934,66.2838,3.8119,6
"331",2,19,4,400,80.4,1,0.0025200752,45.2596,85.1695,5.839,8
"332",3,31,16,1300,130.7862,5,0.0017271157,64.5867,114.4737,12.1579,6
"333",6,17,24,850,215.706,5,0.0058090915,22.2445,35.5887,5.2481,10
